rank,config_json,Image Recall@1,Image Recall@5,Image Recall@10,Image MRR
20,"{""bbox_weight"": 0.7, ""semantic_mode"": ""relative_softmax"", ""siglip_weight"": 0.3, ""source_coefficient"": 0.01, ""weights"": [0.299709, 0.303656, 0.304335, 0.071107, 0.021193]}",0.45714285714285713,0.7571428571428571,0.8142857142857143,0.5771995464852608
21,"{""bbox_weight"": 0.8, ""semantic_mode"": ""relative_softmax"", ""siglip_weight"": 0.2, ""source_coefficient"": 0.0, ""weights"": [0.346572, 0.238582, 0.322453, 0.043833, 0.04856]}",0.45714285714285713,0.7571428571428571,0.8142857142857143,0.5767460317460317
22,"{""bbox_weight"": 0.7, ""semantic_mode"": ""relative_softmax"", ""siglip_weight"": 0.3, ""source_coefficient"": 0.0, ""weights"": [0.362569, 0.49656, 0.047818, 0.02819, 0.064863]}",0.45714285714285713,0.7571428571428571,0.8142857142857143,0.5760884353741497
23,"{""bbox_weight"": 0.7, ""semantic_mode"": ""relative_softmax"", ""siglip_weight"": 0.3, ""source_coefficient"": 0.01, ""weights"": [0.362569, 0.49656, 0.047818, 0.02819, 0.064863]}",0.45714285714285713,0.7571428571428571,0.8142857142857143,0.5760884353741497
24,"{""bbox_weight"": 0.5, ""semantic_mode"": ""relative_softmax"", ""siglip_weight"": 0.5, ""source_coefficient"": 0.0, ""weights"": [0.530855, 0.153755, 0.175801, 0.049794, 0.089795]}",0.45714285714285713,0.7428571428571429,0.8285714285714286,0.5760884353741497
25,"{""bbox_weight"": 0.0, ""semantic_mode"": ""relative_softmax"", ""siglip_weight"": 1.0, ""source_coefficient"": 0.0, ""weights"": [0.0, 1.0, 0.0, 0.0, 0.0]}",0.45714285714285713,0.7428571428571429,0.8142857142857143,0.5751530612244897
26,"{""bbox_weight"": 0.1, ""semantic_mode"": ""relative_softmax"", ""siglip_weight"": 0.9, ""source_coefficient"": 0.0, ""weights"": [0.0, 1.0, 0.0, 0.0, 0.0]}",0.45714285714285713,0.7428571428571429,0.8142857142857143,0.5751530612244897
27,"{""bbox_weight"": 0.5, ""semantic_mode"": ""relative_softmax"", ""siglip_weight"": 0.5, ""source_coefficient"": 0.01, ""weights"": [0.530855, 0.153755, 0.175801, 0.049794, 0.089795]}",0.45714285714285713,0.7428571428571429,0.8142857142857143,0.5748809523809524
28,"{""bbox_weight"": 0.2, ""semantic_mode"": ""robust_cosine"", ""siglip_weight"": 0.8, ""source_coefficient"": 0.01, ""weights"": [0.59991, 0.107043, 0.165467, 0.033225, 0.094356]}",0.45714285714285713,0.7571428571428571,0.8571428571428571,0.5744784580498866
29,"{""bbox_weight"": 0.6, ""semantic_mode"": ""relative_softmax"", ""siglip_weight"": 0.4, ""source_coefficient"": 0.0, ""weights"": [0.73714, 0.10831, 0.027617, 0.077961, 0.048972]}",0.4714285714285714,0.7142857142857143,0.8,0.5744784580498866
30,"{""bbox_weight"": 0.5, ""semantic_mode"": ""relative_softmax"", ""siglip_weight"": 0.5, ""source_coefficient"": 0.0, ""weights"": [0.5, 0.15, 0.2, 0.1, 0.05]}",0.4714285714285714,0.7428571428571429,0.8,0.5741836734693878
31,"{""bbox_weight"": 0.4, ""semantic_mode"": ""relative_softmax"", ""siglip_weight"": 0.6, ""source_coefficient"": 0.02, ""weights"": [0.346572, 0.238582, 0.322453, 0.043833, 0.04856]}",0.44285714285714284,0.7714285714285715,0.8142857142857143,0.5738265306122449
32,"{""bbox_weight"": 0.8, ""semantic_mode"": ""relative_softmax"", ""siglip_weight"": 0.2, ""source_coefficient"": 0.0, ""weights"": [0.0, 1.0, 0.0, 0.0, 0.0]}",0.45714285714285713,0.7285714285714285,0.8,0.5737414965986395
33,"{""bbox_weight"": 0.9, ""semantic_mode"": ""relative_softmax"", ""siglip_weight"": 0.1, ""source_coefficient"": 0.0, ""weights"": [0.0, 1.0, 0.0, 0.0, 0.0]}",0.45714285714285713,0.7285714285714285,0.8,0.5737414965986395
34,"{""bbox_weight"": 0.2, ""semantic_mode"": ""robust_cosine"", ""siglip_weight"": 0.8, ""source_coefficient"": 0.0, ""weights"": [0.0, 1.0, 0.0, 0.0, 0.0]}",0.44285714285714284,0.7571428571428571,0.8285714285714286,0.5737244897959184
35,"{""bbox_weight"": 0.5, ""semantic_mode"": ""relative_softmax"", ""siglip_weight"": 0.5, ""source_coefficient"": 0.0, ""weights"": [0.157474, 0.412768, 0.303335, 0.07103, 0.055394]}",0.44285714285714284,0.7714285714285715,0.8142857142857143,0.5737074829931974
36,"{""bbox_weight"": 0.4, ""semantic_mode"": ""relative_softmax"", ""siglip_weight"": 0.6, ""source_coefficient"": 0.01, ""weights"": [0.42, 0.18, 0.28, 0.09, 0.03]}",0.45714285714285713,0.7714285714285715,0.8142857142857143,0.5735884353741497
37,"{""bbox_weight"": 0.6, ""semantic_mode"": ""relative_softmax"", ""siglip_weight"": 0.4, ""source_coefficient"": 0.01, ""weights"": [0.42859, 0.158614, 0.243567, 0.075825, 0.093404]}",0.45714285714285713,0.7285714285714285,0.8285714285714286,0.573452380952381
38,"{""bbox_weight"": 0.7, ""semantic_mode"": ""relative_softmax"", ""siglip_weight"": 0.3, ""source_coefficient"": 0.01, ""weights"": [0.42, 0.18, 0.28, 0.09, 0.03]}",0.4714285714285714,0.7571428571428571,0.8285714285714286,0.573373015873016
39,"{""bbox_weight"": 0.1, ""semantic_mode"": ""robust_cosine"", ""siglip_weight"": 0.9, ""source_coefficient"": 0.0, ""weights"": [0.59991, 0.107043, 0.165467, 0.033225, 0.094356]}",0.45714285714285713,0.7571428571428571,0.8571428571428571,0.573373015873016
40,"{""bbox_weight"": 0.7, ""semantic_mode"": ""relative_softmax"", ""siglip_weight"": 0.3, ""source_coefficient"": 0.02, ""weights"": [0.299709, 0.303656, 0.304335, 0.071107, 0.021193]}",0.44285714285714284,0.7571428571428571,0.8142857142857143,0.573373015873016
41,"{""bbox_weight"": 0.5, ""semantic_mode"": ""relative_softmax"", ""siglip_weight"": 0.5, ""source_coefficient"": 0.02, ""weights"": [0.299709, 0.303656, 0.304335, 0.071107, 0.021193]}",0.44285714285714284,0.7571428571428571,0.8142857142857143,0.5731519274376418
42,"{""bbox_weight"": 0.5, ""semantic_mode"": ""relative_softmax"", ""siglip_weight"": 0.5, ""source_coefficient"": 0.01, ""weights"": [0.42859, 0.158614, 0.243567, 0.075825, 0.093404]}",0.45714285714285713,0.7285714285714285,0.8285714285714286,0.5726757369614512
