metric,query_count,g3_value,g4_value,paired_difference,ci_95_lower,ci_95_upper,improved_queries,worsened_queries,tied_queries,bootstrap_resamples,random_seed
Image Recall@1,70,0.45714285714285713,0.4857142857142857,0.02857142857142857,-0.02857142857142857,0.08571428571428572,3,1,66,200000,20260810
Image Recall@5,70,0.7142857142857143,0.7714285714285715,0.05714285714285714,0.0,0.12857142857142856,5,1,64,200000,20260811
Image Recall@10,70,0.8,0.8714285714285714,0.07142857142857142,0.014285714285714285,0.14285714285714285,5,0,65,200000,20260812
Image MRR,70,0.5719614512471656,0.619937641723356,0.04797619047619048,0.012363945578231292,0.08765348639455774,13,2,55,200000,20260813
